id,original,edit,meanGrade,pred
4647,Watch The DNC <Debate/> Live,Debacle,2.0,0.58409
1191,Trump ’s <Trade/> War With Canada,thumb,2.0,0.89206
12757,Turkey tells <citizens/> to reconsider travelling to US,chickens,2.0,1.241724
6125,"Helmut Kohl , <chancellor/> who reunited Germany , dies at 87",clown,2.0,0.920797
2601,White House struggles to contain Flynn <fallout/> ,flatulence,2.0,1.786863
12250,CNN files lawsuit seeking Comey 's Trump <memos/> ,poems,2.0,1.025599
8661,China 's President Xi Jinping arrives in Florida for Trump <talks/> .,mumbling,2.0,1.128443
2730,CNN Poll : Three-quarters of Americans approve of Trump 's plans to <meet/> with Kim Jong-Un,dance,2.0,1.883271
1112,Will António Guterres be the UN 's best ever <secretary/> general ?,fashion,2.0,1.001251
3351,Obama library 's public <cost/> estimated at $ 175M : report,fine,2.0,0.459629
11992,Appeals Court Panel Appears Skeptical of Trump 's <Travel/> Ban,deodorant,2.0,1.899313
8688,Americans living in rural areas more likely to die by <suicide/> ,chocolate,2.0,1.045706
7413,Election analysts move Ryan seat toward Dems after his <retirement/> ,prom,2.0,1.155842
5136,"Trump administration toughens policy toward ' <sanctuary/> ' cities , but the move affects only some funds",mythological,2.0,0.832721
11792,America 's military wo n't save us from Trump 's <fascism/> ,hair,2.0,1.901706
13354,Russian special <forces/> sent to back renegade Libyan general – reports,sauce,2.0,1.071908
10898,This John Brennan quote on Russia just made Donald Trump 's <life/> much harder,pants,2.0,1.34115
781,Trump ’s Plan To Kick Out Mexican <Immigrants/> Will Absolutely Need Mexican Cooperation,food,2.0,1.255903
1506,Donald Trump will spark a war in the Middle East with <Iran/> – which is great news for Isis,mummies,2.0,1.802391
3232,"Man Sets Off Explosive <Device/> at L.A.-Area Cheesecake Factory , No Injuries",breakdance,2.0,1.31304
9464," <Trump/> Could Use Military To Launch His Own Coup , Warns Former White House Ethics Lawyer",Chickens,2.0,1.462766
6927,Iranian general threatens to ' <bury/> ' Donald Trump,wedgie,2.0,1.668888
5642,"Report : CBS , PBS Knew About Charlie Rose ’s Alleged Sexual <Misconduct/> for Years",dysfunction,2.0,1.029332
1179,James Comey left a <paper/> trail : Memo reportedly reveals Trump asked FBI to end Flynn investigation,snail,2.0,0.942086
1820,"Trump Paid About $ 38 Million In Federal <Taxes/> In 2005 , Leaked Returns Say",Bribes,2.0,0.808252
11810, <Trump/> willing to pursue ' temporary deal ' on healthcare,Zombies,2.0,1.138159
1686,President Trump is running an empty <government/> ,head,2.0,0.917027
3913,White House spokesman does not rule out Trump-Putin July <meeting/> in Germany,date,2.0,1.211409
3242,Bannon Plans to <Back/> Challengers to Most GOP Senators,clone,2.0,1.334154
13613,Trump ’s <Rhetoric/> Helpless Against Rise of Trade Deficit With China,brain,2.0,0.780038
3681,Lawsuit Says It 's Unconstitutional For President Trump To Block <Critics/> On Twitter,self,2.0,1.445584
3884,"Mac users , you need to change your <passwords/> immediately !!",diapers,2.0,1.445473
8979,North Korean Official : <Situation/> in a ' Vicious Cycle ',Dryer,2.0,1.040922
7221,China Learns How to Get Trump 's <Ear/> : Through Jared Kushner,underwear,2.0,1.876288
4878,Donald Trump on <Gangs/> : ‘ They Are Getting the Hell out or They Are Going to Prison ’,vegetables,2.0,1.04494
8436,Kushner said CNN should fire a fifth of its <staff/> over election coverage : report,caterers,2.0,1.064189
9860,Poll Shows Most Doubt Trump 's Respect for <Institutions/> ,grandmothers,2.0,1.290129
1648,When asked when the last time he thought America ‘ was great ’ Roy Moore replied with ‘ <slavery/> ’,Disco,2.0,1.146984
329,NPR News : Far-Left Candidate Jean-Luc Melenchon Surges In Polls Ahead Of French <Election/> ,toast,2.0,0.614378
2495,Mueller <investigation/> enters Year Two : What comes next — and how it could end,bath,2.0,1.354782
10571,Afghan girls <robotics/> team allowed in by Trump arrives in U.S.,twerk,2.0,1.270042
3429,Trump handled <meeting/> with Putin ' brilliantly ' says Treasure Secretary Mnuchin,date,2.0,1.40705
4717,"China ' holding at least 120,000 <Uighurs/> in re-education camps '",Pandas,2.0,0.975001
237,North and South Korea Agree to <Border/> Talks Next Week,pillow,2.0,1.592643
177,German anti-Muslim AfD party politician converts to <Islam/> ,decaf,2.0,1.07478
3832,Mattis to brief Trump on <options/> for military action in Syria,undergarments,2.0,1.824028
10807,Trump <calls/> wife of hospitalized John McCain,courts,2.0,0.978502
3209,China Learns How to Get Trump 's Ear : Through <Jared Kushner/> ,cartoons,2.0,1.322327
2712,GOPer : Schiff hopes he 'll benefit from Trump 's <attack/> ,wig,2.0,1.875128
5927,Trump 's <rhetoric/> will never unify Americans — because Trump does n't want to unify Americans,hair,2.0,1.857262
1444,"Schumer Says He 'll Oppose Gorsuch Nomination , Sets Up <Filibuster/> Showdown With GOP",Pistol,2.0,1.177508
3876,Senator Mark Warner ( D-Virginia ) tells Jake Tapper he will introduce <legislation/> to block Steve Bannon from the National Security,bodyguards,2.0,1.282745
10713,The U.N. 's Most Important <Peacekeeping/> Mission : Trump,cupcake,2.0,1.162088
7156,"Putin tells Americans to stop disrespecting Trump , because he 's the <president/> ",best,2.0,0.975039
12334, <Senate Democrats/> demand answers on opioid crisis efforts,Donkeys,2.0,1.154876
2615,Muslim Cyber <Army/> : a ' fake news ' operation designed to derail Indonesia 's leader,Monkey,2.0,0.903693
3620,Charged ‘ Putin ’s chef ’ runs news sites along with troll <army/> ,dolls,2.0,1.38189
13074,KIM JONG UN SAYS TRUMP IS ' MENTALLY DERANGED ' AND NEEDS TO BE TAMED WITH ' <FIRE/> ',HUGS,2.0,1.432659
3059,Trump : We 're taking on the tangled web of special interests to lower <drug/> prices,cheeseburger,2.0,1.350507
1873,Trump willing to pursue ' temporary deal ' on <healthcare/> ,tacos,2.0,1.431725
2099,Taiwan train company wants <apology/> for ' demon doll ' passenger,exorcism,2.0,1.255602
10218,( Un ) lucky # 45 : <Impeaching/> Donald Trump is not an option — yet,Spanking,2.0,1.990085
13293,Bernie Sanders ' <Son/> Is Extremely Mad Online,Grandmother,2.0,1.083586
734,Fox News ’s Sean Hannity Shares a <Lawyer/> With the President He Defends on TV,burrito,2.0,1.641444
1419,U.A.E. Denies Yemen Rebels Fired <Missile/> at Abu Dhabi Nuclear Plant,pumpkin,2.0,0.55205
6783,Trump said he would hire the best people . Instead we got the <Trump/> administration .,goblin,2.0,1.267771
421,Trump ’s counter-jihad How the anti-Muslim fringe conquered the White <House/> .,trash,2.0,0.763947
14639,Steve Bannon Reportedly Attacked <Paul Ryan/> As ‘ A Limp-D ** k Motherf ** ker ’,himself,2.0,0.905243
13055,"The Latest : CEOs confident in <future/> , survey finds",fraud,2.0,0.816359
1407,Report : Pro teams <avoiding/> Trump hotels,egging,2.0,0.833708
6097,"Trump Paid About $ 38 Million In Federal <Taxes/> In 2005 , Leaked Returns Say",bribes,2.0,0.740299
15059,"As Joe Arpaio waits for <mercy/> , 5 things to know about presidential pardons .",pizza,2.0,1.224186
1854,Trump <asks/> world leaders to call him on his cellphone,begs,2.0,0.814578
13220,Firing Mueller ? <Pardoning/> cronies ? Trump could get away with that and more if Congress does n't act,seducing,2.0,1.366576
6821,Orange County <Rep. Dana Rohrabacher/> was lobbied by the former Soviet military intelligence officer at the Trump meeting,Buffoon,2.0,0.855761
1414,Rand Paul : ObamaCare replacement goal is to <insure/> most people at lowest cost,murder,2.0,1.016268
500,This is the biggest pure giveaway to the rich in the Republican <health/> bill,wealth,1.9,0.596731
11828,"In a reversal , the Trump administration now says green <card/> holders can enter the US",money,1.9,0.725836
1065,Trump Lawyer Says <Sexual Harassment/> Case Would Have Undue ' Control ' Over the President,guitar,1.8,1.176683
14678,"Trump "" absolutely "" considered breaking up 9th <Circuit/> Court",basketball,1.8,0.839174
1274,This Week Was A Great Reminder That Trump Is A Huge <Liar/> ,hairpiece,1.8,1.631147
13248,Appeals Court Panel Appears Skeptical of Trump 's Travel <Ban/> ,bag,1.8,0.894054
7710,Trump turned a <rumor/> into a full-blown government conspiracy in just 5 days,haircut,1.8,1.602846
12075,Denver demonstrates : Legalize marijuana and get affordable <housing/> ,cocaine,1.8,1.204851
12589,"On Donald Trump , Republicans should prefer <war/> to appeasement",peas,1.8,1.371585
4815,Delaware state trooper <dies/> after being shot in convenience store parking lot,dances,1.8,0.838868
8241," <Taylor/> Impresses Trump for Fed Chairman , Warsh Slips",Parasite,1.8,1.256904
12622,Debate over use of jumbo <bomber/> as wildfires rage in West,elephant,1.8,1.080193
5760,White <people/> should be more afraid of other whites than they are of people of color,chicken,1.8,0.886974
1267,"Trump 's Border Wall Must Be Built , 380 <Sheriffs/> Tell Congress",dunces,1.8,1.043534
8583,One family fought the system and stopped Donald Trump 's first <venture/> in India,kiss,1.8,1.465713
11402, <Fact/> check : Donald Trump ’s tax plan and ‘ the rich ’,Blank,1.8,0.772604
3247,Tillerson faces his toughest audience yet : The <State/> Department,Baby,1.8,1.143228
5413,Why Trump 's next big policy <reversal/> could be on the TPP,scam,1.8,0.782921
11844,Trump EPA Moves to Relax Obama-Era Auto Industry Emission <Standards/> ,Smell,1.8,1.014912
2504,Trump <Travel/> Ban Faces Court Hearings By Challengers Today,Puppy,1.8,1.48875
13312,"James Comey on Nunes <memo/> : "" That 's it ? """,wardrobe,1.8,1.333489
9876,A U.S. citizen has escaped a Bali prison by <climbing/> out of the roof,dancing,1.8,1.084255
12341,1000 's of Google employees asked CEO Sundar Pichai to stop providing AI tech for the US military 's <drone/> program .,babysitting,1.8,1.352466
5332,Bayer-Monsanto merger is terrifying US <farmers/> ,mosquitos,1.8,0.885061
4492,Need for <Harvey/> recovery money could complicate Congress ' hectic September,bribe,1.8,0.931049
7674,Trump <travel/> ban blocked by Va.-based federal appeals court,taco,1.8,1.219846
12880,Trump ’s Rhetoric Helpless Against Rise of <Trade/> Deficit With China,cheese,1.8,0.800245
1262,Air India revokes ban on Minister of <Parliament/> who beat employee,spanking,1.8,1.50085
1095,UK set to ban <laptops/> on flights from Middle East countries,churros,1.8,1.416266
13482,Comey hints that there are ' facts ' we do n't yet know about why Jeff Sessions recused himself from the <Russia/> probe,alien,1.8,1.112415
13933,Donald Trump <denounces/> James Comey as ' untruthful slime ball ',embraces,1.8,0.70557
10653,Donald Trump on <Gangs/> : ‘ They Are Getting the Hell out or They Are Going to Prison ’,friends,1.8,0.933595
6674,Trump dials back rhetoric as he says <Syria/> attack may not happen soon,robot,1.8,1.162778
4901,US wo n’t restore Yellowstone <grizzly/> bear protections,teddy,1.8,1.278382
14329,US soldier <gets/> worlds first penis and scrotum transplant,adores,1.8,0.588754
4003,"Justice Department was told to come up with reasons to <fire/> Comey , reports say",dress,1.8,1.442415
2388,Hawaii to Begin Education Campaign for Possible North Korean <Missile/> Launch,sandwich,1.8,0.957311
11041,White House Leans Into Mueller <Attacks/> Betting On Favorable Landscape With Supporters,Gardeners,1.8,0.908325
8782, <Town Hall/> Protests Revive Art of Bird-Dogging Politicians,Cat,1.8,0.927061
315,What would happen if Trump sparked a <trade/> war with China ?,grammar,1.8,1.276713
7778,Why the Obamacare repeal bill will have an even tougher time in the <Senate/> ,Kindergarten,1.8,1.200648
1178,Over 900 US career diplomats protest <Trump/> order,takeout,1.8,1.25346
5143,"The Latest : CEOs confident in <future/> , survey finds",Deodorant,1.8,1.722603
8918,Report : the Trump administration is planning to <tweak/> its travel ban — but maybe not enough,ban,1.8,0.703657
9171,The Latest : Manafort <meets/> with Senate officials on Russia :,flirts,1.8,1.200321
12428," <Justice Department/> was told to come up with reasons to fire Comey , reports say",kindergarten,1.8,0.937941
4405,Japanese Princess Mako 's <wedding/> postponed until 2020,birth,1.8,0.809517
13904, <Bernie Sanders/> Fined for Colluding with Australian Labor Party,Koalas,1.8,0.912326
14945,Kremlin on the Potomac : Trump ’s White House makes Americans into <strangers/> in a strange land,zombies,1.8,1.317119
10630,This Week Was A Great Reminder That Trump Is A Huge <Liar/> ,baby,1.8,1.072267
12074, <Senators/> really could vote to repeal Obamacare in the next 11 days,monkeys,1.8,1.435933
725,Trump again tweets cryptic threats about <North Korea/> ,food,1.8,1.147216
3313,Donald Trump ’s <tweets/> have been turned into an early 2000s emo song,eyebrows,1.8,1.303764
11136,Donald Trump Blasts <Reporters/> at Trump Tower For One-Sided Charlottesville Reporting,firecrackers,1.8,1.101575
9900,"McConnell , McCain praise Flake after blistering anti-Trump retirement <speech/> ",impersonation,1.8,0.722613
5777, <Vladimir Putin/> Is Really Unpopular Among Americans,Work,1.8,0.797782
10648,Muslim rape-murder case in India disrupted by Hindu right-wing <groups/> ,penguins,1.8,1.013687
7178,Fed rebel warns businesses to stop ' whining ' about a shortage of <workers/> ,potatoes,1.8,1.181618
7990,Quebec ’s legislators last week unanimously passed a resolution calling for shopkeepers to stop saying “ Bonjour hi ” when they <greet/> customers,kick,1.8,1.331926
12682,Trump <Travel/> Ban Faces Court Hearings By Challengers Today,banana,1.8,1.112523
11230,Starbucks overhauls bathroom <policy/> after racial firestorm,decor,1.8,1.070152
14988,' Stop interrupting ' : Spicer argues with a reporter after saying Trump ’s former campaign manager played a ' limited <role/> ',Bagpipe,1.8,1.466864
12529,Deported <veteran/> speaks out before becoming US citizen,parrot,1.8,1.027261
2816,Billionaire Pritzker to Face Incumbent Rauner in <Illinois/> Race,buffoon,1.8,1.153568
10827,The White House says Putin and Trump will not have a private <meeting/> in Vietnam,shower,1.8,1.779963
2481,( Un ) lucky # 45 : <Impeaching/> Donald Trump is not an option — yet,Deporting,1.8,1.662389
6178,North Korean Official : <Situation/> in a ' Vicious Cycle ',Laundry,1.8,1.524364
3070,"Donald Trump claims Barack Obama ordered ' <wire/> tap ' on Trump Tower , but provides no evidence",toe,1.8,1.670402
5031,California assemblyman <resigns/> after a lobbyist accuses him of masturbating in front of her in a bathroom,prances,1.8,0.965993
7944,Huckabee : My <daughter/> ‘ has no desire ’ for Spicer ’s job,dog,1.8,1.161624
11847,Ex-CIA Boss Brennan Rattled About National Security After Trump 's Alec Baldwin <Tweet/> ,Impression,1.8,1.028153
13238,Erik Prince details Seychelles meeting with Russian <banker/> ,bear,1.8,1.051438
12129,U.N. Nuclear Inspector : North Korea 's <Capability/> Has Entered A ' New Phase ',saltiness,1.8,0.94545
9489,"Sanders and Warren are criticizing Obama ’s $ 400,000 Wall Street <speech/> . Here ’s why it ’s a bad idea .",cake,1.8,1.217196
8576,Detained <DREAMer/> files petition to go free,genie,1.8,0.927583
2142,"Trump , Russian <spies/> and the infamous ‘ golden shower memos ’",prostitutes,1.8,1.23755
3898,Trump : U.S. has ' no choice ' but to deal with North Korea <arms/> challenge,cinnamon,1.8,1.345586
7081,Trump 's <Lawyer/> Threatens To File Complaints Against Comey,Wig,1.8,1.517798
1045,Joaquin ' El Chapo ' Guzman Being Extradited to the <US/> ,bathroom,1.8,1.097061
2147,President Trump Wants a <Wall/> ? Mexico Is It,vacation,1.8,1.236543
6804,Trump to Make <Tax/> Speech Wednesday,hate,1.8,1.083245
6914,Tillerson breaks protocol by <meeting/> Turkey 's Erdogan without translator,punching,1.8,1.356584
3716,Freedom Caucus and Ryan faceoff over <Friday/> shutdown,buffet,1.8,1.221607
11725,Why the Obamacare repeal bill will have an even tougher time in the <Senate/> ,garbage,1.8,0.924363
4124,Montana Rep.-elect Gianforte apologizes to reporter for <assault/> ,tickling,1.8,1.642706
10656,Trump looks at partial eclipse ... without <glasses/> .,toupee,1.8,1.764197
7213,China Tells Trump ' This is Not How a U.S. <President/> Should Behave ' After North Korea Tweet,Clown,1.8,1.21968
11339,"Sen. Rand Paul assaulted at his Kentucky home , <man/> arrested",squirrel,1.8,1.169454
12632, <Helicopter/> ' attacks ' Venezuelan court - BBC News,Bee,1.8,0.676503
10647,PBS Islamic Lesson Plan Encourages Students to <Identify/> with Radical Jihadists,Breakdance,1.8,1.596857
9805, <Saudi/> king reportedly plans to skip G-20 summit of economic leaders,fairy,1.8,1.169268
14716,Report : Pro teams avoiding Trump <hotels/> ,visit,1.8,0.806893
1512,"Trump 's views on <Islam/> ' continue to evolve , ' Secretary of State Rex Tillerson says",dinosaurs,1.8,0.994915
2837,Key features of the Republicans ’ final <tax/> bill,lunch,1.8,1.192293
11713,Watch The DNC <Debate/> Live,cadaver,1.8,0.830358
14843,Trump lawyer Michael Cohen appears in <court/> with porn star Stormy Daniels watching,Video,1.8,0.90972
13427,"$ 3.37 per <Hour/> — Median Rate for Uber , Lyft Drivers per Study .",year,1.8,0.5241
5554,Trump does n't want you knowing the benefits of <regulations/> far outweigh the costs,hairspray,1.8,1.491641
13346,"Air Force drop non-nuclear 30ft "" mother of all <bombs/> "" on Afghanistan - never before used in warfare",kabobs,1.8,1.272264
11775,Moscow Rejects Report on Donald Trump <Ties/> as ' Total Hoax ',hair,1.8,1.868523
12754,Estonian moms are training to fight <Russia/> 's little green men,Mars,1.8,1.036931
12211,Donald Trump ’s super-secret <spy/> team ? This loony scheme is way too plausible,pie,1.8,1.252885
6081,Melania Trump has ' wonderful ' <visit/> with panda,dinner,1.8,1.327913
14921,It Looks Like Donald Trump Made Up A <Friend/> ,cheeseburger,1.8,1.422782
11278,"The 100 best books to <read/> in your lifetime , according to Amazon",shred,1.8,1.207209
9315,Trump Org told to <remove/> phony Time magazine issues,frame,1.8,0.841411
12738,Victim of Cuba embassy ' attacks ' frustrated by <response/> ,punctuation,1.8,0.823532
8047,NBC demotes Megyn Kelly ’s struggling Sunday night <show/> to ‘ periodic ’ airings only,hairstyle,1.8,1.869706
10042,China minister warns against seduction of values by Western <nations/> ,cupcakes,1.8,1.122651
